,Akun,Post,Tag,Likes,Comments
101,marpaungjuan,"Menuju Masa Demisioner
Dipersilahkan memberikan evaluasinya yang membangun untuk kami lebih baik ke depannya @llmpmatematika.unj
#vivalegislativa 
#vivalegislativa","['vivalegislativa', 'vivalegislativa']",220,['Mantapppp semangat brooo']
102,marpaungjuan,"Kami keluarga besar matematika mengucapkan selamat hari raya idul fitri mohon maaf lahir batin 
#hidupmahasiswa",['hidupmahasiswa'],124,"['Dimaafin ga y.....', 'Cash/kredit motor honda terbaru, DP promo mulai 500rb, ktp jabodetabek bisa di proses ']"
103,marpaungjuan,"Rindu kampung halaman
#exploresingapore 
#idulfitri1438h 
#traveler
#visitsingapore 
#sg","['exploresingapore', 'idulfitri1438h', 'traveler', 'visitsingapore', 'sg']",172,"['Tegang amat itu muka wkwk', 'Abang gk pulang @marpaungjuan']"
104,marpaungjuan,"""Ku bersyukur Kaulah yang terbaik
Yang ku punya dalam hidupku
Tak ada yang bisa menggantikan
Kasih setiaMu
Di spanjang hidupku slamanya
Trima kasih Tuhan ku dipilih""
Awal pelayanan di kampus terimakasih buat abang kakak pendamping dari mulai latihan sampai simulasi @arimanullang @_septiancandra_ @serafimchristina @timotiusaldoyp 
Ditunggu pelayanan barengnya lagi @yeremia_and @deswati_tambunan @elisasmbiring -TWP Kelompok 1-",[],143,"[' ""Jadilah teladan bagi orang-orang percaya, dalam perkataan dalam kesaksian hidup kita. Jagalah kesucian kita di tengah kecemaran dunia. Jadilah teladan di tengah tengah dunia."" Selamat melayani geng 1.', 'Weeeshhh gelasehhhh, semangat melayanii Diaa', 'Semangat terus', 'Mantap nih udah langsung dipanggil buat melayani wkwk semangat ju!']"
105,marpaungjuan,"""Demi kau dan si buah hati""
Olahraga biar sehat
Kimia Analis-Pelayaran-Matematika-Penerbangan
Batam squad
Dertiens",[],138,"['Pulkan ye', 'Abang gk krmh opung @marpaungjuan', 'Follback bang @marpaungjuan']"
106,marpaungjuan,"Ga cuma anak seni doang yang bisa nyanyi
Buronan Mertua
Blue Band
Latihan cuma 1 hari banget
@ano_wacukamboi @daniel_alxndr @elsaviorntn 
#payungteduh -Dialog Keluarga Besar Matematika 2018-",['payungteduh'],116,"['Hilih taee, buronan mertua', 'H+ berapa coba ', 'Juan..gemuk yah sekarang...', 'Flbckkkk juan']"
107,marpaungjuan,"Semangat Olimpisme 
#exploresingapore",['exploresingapore'],128,"['Jaket uenje dipake2 ', 'serah lu sambel']"
108,marpaungjuan,"Happy Chinnese New Year 
#explorebatam_kepri 
#explorebatam","['explorebatam_kepri', 'explorebatam']",149,"['Follback bg', 'Hoo', 'Mukamu kurang seram']"
109,marpaungjuan,"I hated every minute of training, but I said, Dont quit. Suffer now and live the rest of your life as a champion",[],143,"[""god's friend banget coi"", 'agak ganyambung ya', 'Gaya boleh juga nihh,wkwkwk', 'Ganteng ya dindingny', 'Eak, kok sendiri ju?', 'Oleh2 si pokoknya', 'Kok sama semua gaya nya aahh  @marpaungjuan', 'Follback bang @marpaungjuan']"
110,marpaungjuan,No Caption,[],158,"['wkwk kek udh 30 ju', 'Tua bangka', 'Sokkkkkk', 'Abang tahun baruan di bandung ya sma kluarga @marpaungjuan', 'jijik laa ju liat foto ko megang kaleng soda itu', 'Gajelas kek juan @idarimut @safirapii', 'Kapan pulang Abang @marpaungjuan hehhehe']"
